"UNITID","Institution_type","State"
"171304","Public","MI"
"171395","Public","MI"
"171456","Public","MI"
"171483","Public","MI"
"171492","Private, nonprofit","MI"
"171535","Public","MI"
"171571","Public","MI"
"171599","Private, nonprofit","MI"
"171775","Private, for-profit","MI"
"171881","Private, nonprofit","MI"
"171988","Private, for-profit","MI"
"171997","Private, for-profit","MI"
"172015","Private, for-profit","MI"
"172033","Private, nonprofit","MI"
"172051","Public","MI"
"172200","Public","MI"
"172264","Private, nonprofit","MI"
"172291","Public","MI"
"172307","Public","MI"
"172325","Private, for-profit","MI"
"172334","Private, nonprofit","MI"
"172422","Public","MI"
"172440","Private, nonprofit","MI"
"172477","Private, nonprofit","MI"
"172495","Private, for-profit","MI"
"172608","Private, nonprofit","MI"
"172617","Public","MI"
"172635","Public","MI"
"172644","Public","MI"
"172671","Public","MI"
"172680","Private, for-profit","MI"
"172699","Public","MI"
"172705","Private, nonprofit","MI"
"172866","Private, for-profit","MN"
"172918","Public","MN"
"172927","Private, nonprofit","MN"
"172954","Public","MN"
"172963","Public","MN"
"173045","Private, nonprofit","MN"
"173063","Public","MN"
"173115","Public","MN"
"173124","Public","MN"
"173142","Private, nonprofit","MN"
"173160","Private, nonprofit","MN"
"173203","Public","MN"
"173258","Private, nonprofit","MN"
"173300","Private, nonprofit","MN"
"173328","Private, nonprofit","MN"
"173416","Public","MN"
"173452","Private, nonprofit","MN"
"173461","Public","MN"
"173470","Private, for-profit","MN"
"173559","Public","MN"
"173638","Public","MN"
"173647","Private, nonprofit","MN"
"173665","Private, nonprofit","MN"
"173683","Private, nonprofit","MN"
"173708","Public","MN"
"173735","Public","MN"
"173744","Private, for-profit","MN"
"173799","Public","MN"
"173805","Public","MN"
"173896","Private, nonprofit","MN"
"173902","Private, nonprofit","MN"
"173911","Public","MN"
"173920","Public","MN"
"173957","Private, nonprofit","MN"
"173993","Public","MN"
"174020","Public","MN"
"174066","Public","MN"
"174075","Public","MN"
"174127","Private, nonprofit","MN"
"174136","Public","MN"
"174154","Private, nonprofit","MN"
"174190","Private, for-profit","MN"
"174233","Public","MN"
"174251","Public","MN"
"174321","Private, for-profit","MN"
"174358","Public","MN"
"174376","Public","MN"
"174428","Public","MN"
"174437","Private, nonprofit","MN"
"174473","Public","MN"
"174491","Private, nonprofit","MN"
"174507","Private, nonprofit","MN"
"174525","Private, nonprofit","MN"
"174570","Public","MN"
"174604","Public","MN"
"174738","Public","MN"
"174747","Private, nonprofit","MN"
"174756","Public","MN"
"174783","Public","MN"
"174792","Private, nonprofit","MN"
"174817","Private, nonprofit","MN"
"174844","Private, nonprofit","MN"
"174862","Private, nonprofit","MN"
"174899","Private, nonprofit","MN"
"174914","Private, nonprofit","MN"
"174978","Private, for-profit","MN"
"175005","Private, nonprofit","MN"
"175014","Private, for-profit","MN"
"175041","Public","MN"
"175078","Public","MN"
"175120","Private, nonprofit","MN"
"175139","Private, nonprofit","MN"
"175157","Public","MN"
"175227","Private, nonprofit","MN"
"175236","Public","MN"
"175263","Public","MN"
"175272","Public","MN"
"175281","Private, nonprofit","MN"
"175315","Public","MN"
"175342","Public","MS"
"175421","Private, nonprofit","MS"
"175430","Private, nonprofit","MS"
"175494","Private, for-profit","MS"
"175519","Public","MS"
"175573","Public","MS"
"175607","Private, for-profit","MS"
"175616","Public","MS"
"175643","Public","MS"
"175652","Public","MS"
"175698","Private, for-profit","MS"
"175722","Private, for-profit","MS"
"175786","Public","MS"
"175810","Public","MS"
"175829","Public","MS"
"175856","Public","MS"
"175883","Public","MS"
"175935","Public","MS"
"175980","Private, nonprofit","MS"
"176008","Public","MS"
"176017","Public","MS"
"176035","Public","MS"
"176044","Public","MS"
"176053","Private, nonprofit","MS"
"176062","Private, for-profit","MS"
"176071","Public","MS"
"176080","Public","MS"
"176169","Public","MS"
"176178","Public","MS"
"176239","Public","MS"
"176318","Private, nonprofit","MS"
"176336","Private, nonprofit","MS"
"176354","Public","MS"
"176372","Public","MS"
"176390","Private, for-profit","MS"
"176406","Private, nonprofit","MS"
"176433","Private, for-profit","MS"
"176451","Private, nonprofit","MS"
"176479","Private, nonprofit","MS"
"176600","Private, nonprofit","MO"
"176628","Private, nonprofit","MO"
"176664","Private, nonprofit","MO"
"176716","Private, for-profit","MO"
"176770","Private, nonprofit","MO"
"176789","Private, nonprofit","MO"
"176798","Public","MO"
"176910","Private, nonprofit","MO"
"176947","Private, nonprofit","MO"
"176965","Public","MO"
"176983","Public","MO"
"177038","Private, nonprofit","KS"
"177065","Private, nonprofit","MO"
"177083","Private, nonprofit","MO"
"177092","Private, nonprofit","MO"
"177117","Private, nonprofit","MO"
"177126","Private, nonprofit","MO"
"177135","Public","MO"
"177144","Private, nonprofit","MO"
"177214","Private, nonprofit","MO"
"177250","Public","MO"
"177278","Private, nonprofit","MO"
"177302","Private, for-profit","MO"
"177339","Private, nonprofit","MO"
"177418","Private, nonprofit","MO"
"177436","Public","MO"
"177472","Public","MO"
"177542","Private, nonprofit","MO"
"177551","Public","MO"
"177588","Private, for-profit","MO"
"177603","Private, for-profit","MO"
"177676","Public","MO"
"177685","Private, for-profit","MO"
"177719","Private, nonprofit","MO"
"177746","Private, nonprofit","MO"
"177816","Private, nonprofit","MO"
"177834","Private, nonprofit","MO"
"177870","Public","MO"
"177931","Public","MO"
"177940","Public","MO"
"177968","Private, nonprofit","MO"
"177977","Public","MO"
"177986","Private, nonprofit","MO"
"177995","Public","MO"
"178004","Private, for-profit","MO"
"178059","Private, nonprofit","MO"
"178077","Private, for-profit","MO"
"178183","Private, for-profit","MO"
"178208","Private, nonprofit","MO"
"178217","Public","MO"
"178244","Private, nonprofit","MO"
"178341","Public","MO"
"178369","Private, nonprofit","MO"
"178387","Public","MO"
"178396","Public","MO"
"178402","Public","MO"
"178411","Public","MO"
"178420","Public","MO"
"178448","Public","MO"
"178518","Private, nonprofit","MO"
"178527","Private, for-profit","MO"
"178615","Public","MO"
"178624","Public","MO"
"178679","Private, nonprofit","MO"
"178697","Private, nonprofit","MO"
"178721","Private, nonprofit","MO"
"178767","Private, for-profit","MO"
"178828","Public","MO"
"178891","Private, nonprofit","MO"
"178989","Private, for-profit","MO"
"179043","Private, nonprofit","MO"
"179052","Public","MO"
"179159","Private, nonprofit","MO"
"179195","Private, for-profit","MO"
"179229","Private, for-profit","MO"
"179256","Private, nonprofit","MO"
"179265","Private, nonprofit","MO"
"179308","Public","MO"
"179317","Private, nonprofit","KS"
"179326","Private, nonprofit","MO"
"179344","Public","MO"
"179511","Private, for-profit","MO"
"179539","Public","MO"
"179548","Private, nonprofit","MO"
"179557","Public","MO"
"179566","Public","MO"
"179645","Public","MO"
"179715","Public","MO"
"179812","Private, nonprofit","MO"
"179867","Private, nonprofit","MO"
"179894","Private, nonprofit","MO"
"179946","Private, nonprofit","MO"
"179955","Private, nonprofit","MO"
"179964","Private, nonprofit","MO"
"179991","Private, for-profit","MT"
"180054","Private, nonprofit","MT"
"180063","Private, for-profit","MT"
"180081","Public","MT"
"180090","Private, for-profit","MT"
"180106","Private, nonprofit","MT"
"180151","Public","MT"
"180160","Public","MT"
"180179","Public","MT"
"180197","Public","MT"
"180203","Public","MT"
"180212","Public","MT"
"180249","Public","MT"
"180258","Private, nonprofit","MT"
"180276","Public","MT"
"180328","Public","MT"
"180373","Public","MT"
"180416","Public","MT"
"180461","Public","MT"
"180489","Public","MT"
"180522","Public","MT"
"180595","Private, nonprofit","MT"
"180647","Public","MT"
"180692","Public","MT"
"180814","Private, nonprofit","NE"
"180832","Private, nonprofit","NE"
"180878","Private, nonprofit","NE"
"180902","Public","NE"
"180948","Public","NE"
"180957","Private, for-profit","NE"
"180984","Private, nonprofit","NE"
"181002","Private, nonprofit","NE"
"181020","Private, nonprofit","NE"
"181127","Private, nonprofit","NE"
"181145","Private, nonprofit","NE"
"181190","Private, for-profit","NE"
"181215","Public","NE"
"181297","Private, nonprofit","NE"
"181303","Public","NE"
"181312","Public","NE"
"181330","Private, nonprofit","NE"
"181394","Public","NE"
"181419","Public","NE"
"181428","Public","NE"
"181446","Private, nonprofit","NE"
"181464","Public","NE"
"181491","Public","NE"
"181534","Public","NE"
"181543","Private, nonprofit","NE"
"181604","Private, nonprofit","NE"
"181640","Public","NE"
"181738","Private, nonprofit","NE"
"181765","Public","NE"
"181783","Public","NE"
"181817","Public","NE"
"181853","Private, nonprofit","NE"
"181880","Private, for-profit","NV"
"181941","Private, for-profit","NV"
"182005","Public","NV"
"182148","Private, for-profit","NV"
"182281","Public","NV"
"182290","Public","NV"
"182306","Public","NV"
"182458","Private, nonprofit","NV"
"182500","Public","NV"
"182564","Public","NV"
"182634","Private, nonprofit","NH"
"182652","Private, for-profit","NH"
"182670","Private, nonprofit","NH"
"182704","Private, for-profit","NH"
"182722","Private, for-profit","NH"
"182795","Private, nonprofit","NH"
"182829","Public","NH"
"182892","Private, for-profit","NH"
"182917","Private, nonprofit","NH"
"182953","Private, for-profit","NH"
"182980","Private, nonprofit","NH"
"182999","Private, for-profit","NH"
"183026","Private, nonprofit","NH"
"183035","Private, for-profit","NH"
"183044","Public","NH"
"183062","Public","NH"
"183071","Public","NH"
"183080","Public","NH"
"183099","Public","NH"
"183105","Public","NH"
"183114","Public","NH"
"183123","Public","NH"
"183132","Public","NH"
"183141","Public","NH"
"183150","Public","NH"
"183202","Private, for-profit","NH"
"183211","Private, nonprofit","NH"
"183239","Private, nonprofit","NH"
"183248","Private, nonprofit","NH"
"183257","Public","NH"
"183275","Private, nonprofit","NH"
"183488","Private, for-profit","NJ"
"183600","Private, nonprofit","NJ"
"183655","Public","NJ"
"183725","Private, for-profit","NJ"
"183743","Public","NJ"
"183789","Private, for-profit","NJ"
"183804","Private, nonprofit","NJ"
"183822","Private, nonprofit","NJ"
"183859","Public","NJ"
"183877","Public","NJ"
"183910","Private, nonprofit","NJ"
"183938","Public","NJ"
"183974","Private, nonprofit","NJ"
"183983","Public","NJ"
"184056","Private, for-profit","NJ"
"184092","Private, for-profit","NJ"
"184180","Public","NJ"
"184205","Public","NJ"
"184278","Private, for-profit","NJ"
"184348","Private, nonprofit","NJ"
"184427","Private, for-profit","NJ"
"184481","Public","NJ"
"184506","Private, for-profit","NJ"
"184603","Private, nonprofit","NJ"
"184612","Private, nonprofit","NJ"
"184694","Private, nonprofit","NJ"
"184746","Private, for-profit","NJ"
"184773","Private, nonprofit","NJ"
"184782","Public","NJ"
"184791","Public","NJ"
"184816","Private, for-profit","NJ"
"184959","Private, for-profit","NJ"
"184968","Private, nonprofit","NJ"
"184995","Public","NJ"
"185129","Public","NJ"
"185174","Private, for-profit","NJ"
"185262","Public","NJ"
"185396","Private, for-profit","NJ"
"185466","Private, for-profit","NJ"
"185509","Public","NJ"
"185536","Public","NJ"
"185572","Private, nonprofit","NJ"
"185590","Public","NJ"
"185679","Private, nonprofit","NJ"
"185721","Private, for-profit","NJ"
"185758","Private, nonprofit","NJ"
"185767","Private, for-profit","NJ"
"185828","Public","NJ"
"185873","Public","NJ"
"185970","Private, for-profit","NJ"
"186016","Private, for-profit","NJ"
"186034","Public","NJ"
"186052","Private, for-profit","NJ"
"186122","Private, nonprofit","NJ"
"186131","Private, nonprofit","NJ"
"186186","Private, nonprofit","NJ"
"186201","Public","NJ"
"186274","Private, for-profit","FL"
"186283","Private, nonprofit","NJ"
"186371","Public","NJ"
"186380","Public","NJ"
"186399","Public","NJ"
"186405","Private, nonprofit","NJ"
"186423","Private, nonprofit","NJ"
"186432","Private, nonprofit","NJ"
"186469","Public","NJ"
"186584","Private, nonprofit","NJ"
"186593","Private, for-profit","NJ"
"186618","Private, nonprofit","NJ"
"186645","Public","NJ"
"186867","Private, nonprofit","NJ"
"186876","Public","NJ"
"186900","Private, nonprofit","NJ"
"187000","Private, for-profit","NJ"
"187046","Public","NJ"
"187134","Public","NJ"
"187198","Public","NJ"
"187444","Public","NJ"
"187505","Private, for-profit","NM"
"187532","Public","NM"
"187596","Public","NM"
"187620","Public","NM"
"187639","Public","NM"
"187648","Public","NM"
"187666","Public","NM"
"187745","Public","NM"
"187897","Public","NM"
"187903","Public","NM"
"187912","Public","NM"
"187958","Public","NM"
"187967","Public","NM"
"187976","Public","NM"
"187985","Public","NM"
"187994","Public","NM"
"188003","Public","NM"
"188021","Public","NM"
"188030","Public","NM"
"188049","Public","NM"
"188058","Public","NM"
"188100","Public","NM"
"188137","Public","NM"
"188182","Private, nonprofit","NM"
"188207","Private, nonprofit","NM"
"188216","Public","NM"
"188225","Public","NM"
"188261","Public","NM"
"188289","Private, for-profit","NM"
"188304","Public","NM"
"188340","Private, nonprofit","NY"
"188429","Private, nonprofit","NY"
"188438","Public","NY"
"188517","Private, for-profit","NY"
"188526","Private, nonprofit","NY"
"188535","Private, nonprofit","NY"
"188580","Private, nonprofit","NY"
"188641","Private, nonprofit","NY"
"188650","Private, for-profit","NY"
"188669","Private, nonprofit","NY"
"188678","Private, nonprofit","NY"
"188687","Private, nonprofit","NY"
"188696","Private, for-profit","NY"
"188854","Private, nonprofit","NY"
"188890","Private, for-profit","NY"
"188915","Private, nonprofit","NY"
"188942","Private, nonprofit","NY"
"189015","Private, nonprofit","NY"
"189088","Private, nonprofit","NY"
"189097","Private, nonprofit","NY"
"189219","Private, for-profit","NY"
"189228","Private, for-profit","NY"
"189255","Private, for-profit","NY"
"189273","Private, nonprofit","NY"
"189282","Private, nonprofit","NY"
"189404","Private, for-profit","NY"
"189413","Private, nonprofit","NY"
"189468","Private, for-profit","NY"
"189477","Private, for-profit","NY"
"189501","Private, nonprofit","NY"
"189547","Public","NY"
"189565","Private, for-profit","NY"
"189583","Private, for-profit","NY"
"189592","Private, for-profit","NY"
"189705","Private, nonprofit","NY"
"189714","Private, for-profit","NY"
"189811","Private, for-profit","NY"
"189839","Public","NY"
"189848","Private, nonprofit","NY"
"189857","Private, nonprofit","NY"
"189981","Private, nonprofit","NY"
"189990","Private, for-profit","NY"
"190008","Private, nonprofit","NY"
"190044","Private, nonprofit","NY"
"190053","Public","NY"
"190071","Private, nonprofit","NY"
"190080","Private, nonprofit","NY"
"190099","Private, nonprofit","NY"
"190114","Private, nonprofit","NY"
"190150","Private, nonprofit","NY"
"190169","Public","NY"
"190239","Private, for-profit","NY"
"190248","Private, nonprofit","NY"
"190318","Private, for-profit","NY"
"190372","Private, nonprofit","NY"
"190415","Private, nonprofit","NY"
"190424","Private, nonprofit","NY"
"190442","Public","NY"
"190451","Private, nonprofit","NY"
"190503","Private, nonprofit","NY"
"190512","Public","NY"
"190521","Public","NY"
"190530","Public","NY"
"190549","Public","NY"
"190558","Public","NY"
"190567","Public","NY"
"190576","Public","NY"
"190585","Public","NY"
"190594","Public","NY"
"190600","Public","NY"
"190619","Public","NY"
"190628","Public","NY"
"190637","Public","NY"
"190646","Public","NY"
"190655","Public","NY"
"190664","Public","NY"
"190673","Public","NY"
"190682","Public","NY"
"190691","Public","NY"
"190707","Private, nonprofit","NY"
"190716","Private, nonprofit","NY"
"190725","Private, nonprofit","NY"
"190752","Private, nonprofit","NY"
"190761","Private, nonprofit","NY"
"190840","Public","NY"
"190956","Private, nonprofit","NY"
"190974","Private, for-profit","NY"
"190983","Private, nonprofit","NY"
"191083","Public","NY"
"191126","Public","NY"
"191199","Public","NY"
"191205","Private, for-profit","NY"
"191241","Private, nonprofit","NY"
"191287","Private, for-profit","NY"
"191302","Public","NY"
"191311","Private, nonprofit","NY"
"191320","Private, nonprofit","NY"
"191339","Public","NY"
"191515","Private, nonprofit","NY"
"191533","Private, nonprofit","NY"
"191597","Private, nonprofit","NY"
"191612","Public","NY"
"191621","Private, nonprofit","NY"
"191630","Private, nonprofit","NY"
"191649","Private, nonprofit","NY"
"191676","Private, nonprofit","NY"
"191719","Public","NY"
"191728","Private, for-profit","NY"
"191931","Private, nonprofit","NY"
"191940","Private, nonprofit","NY"
"191959","Private, for-profit","NY"
"191968","Private, nonprofit","NY"
"191986","Public","NY"
"192004","Private, for-profit","NY"
"192022","Public","NY"
"192040","Private, nonprofit","NY"
"192110","Private, nonprofit","NY"
"192165","Private, nonprofit","NY"
"192192","Private, nonprofit","NY"
"192271","Private, for-profit","NY"
"192323","Private, nonprofit","NY"
"192448","Private, nonprofit","NY"
"192484","Private, for-profit","NY"
"192509","Private, for-profit","NY"
"192624","Private, nonprofit","NY"
"192688","Private, for-profit","NY"
"192703","Private, nonprofit","NY"
"192712","Private, nonprofit","NY"
"192749","Private, nonprofit","NY"
"192785","Private, nonprofit","NY"
"192800","Private, nonprofit","NY"
"192819","Private, nonprofit","NY"
"192864","Private, nonprofit","NY"
"192925","Private, nonprofit","NY"
"192961","Private, nonprofit","NY"
"192970","Private, nonprofit","NY"
"193016","Private, nonprofit","NY"
"193052","Private, nonprofit","NY"
"193061","Private, nonprofit","NY"
"193070","Private, nonprofit","NY"
"193122","Public","NY"
"193186","Private, for-profit","NY"
"193201","Private, for-profit","NY"
"193247","Private, nonprofit","NY"
"193265","Private, for-profit","NY"
"193283","Public","NY"
"193292","Private, nonprofit","NY"
"193308","Private, for-profit","NY"
"193326","Public","NY"
"193353","Private, nonprofit","NY"
"193380","Private, nonprofit","NY"
"193399","Private, nonprofit","NY"
"193405","Private, nonprofit","NY"
"193478","Public","NY"
"193584","Private, nonprofit","NY"
"193609","Private, nonprofit","NY"
"193654","Private, nonprofit","NY"
"193672","Private, for-profit","NY"
"193751","Private, nonprofit","NY"
"193821","Private, nonprofit","NY"
"193830","Private, nonprofit","NY"
"193858","Private, for-profit","NY"
"193894","Private, nonprofit","NY"
"193900","Private, nonprofit","NY"
"193946","Public","NY"
"193973","Private, nonprofit","NY"
"193991","Private, for-profit","NY"
"194028","Public","NY"
"194073","Private, nonprofit","NY"
"194091","Private, nonprofit","NY"
"194116","Private, nonprofit","NY"
"194161","Private, nonprofit","NY"
"194189","Private, nonprofit","NY"
"194222","Public","NY"
"194240","Public","NY"
"194259","Public","NY"
"194310","Private, nonprofit","NY"
"194392","Private, nonprofit","NY"
"194435","Private, for-profit","NY"
"194499","Private, for-profit","NY"
"194569","Private, nonprofit","NY"
"194578","Private, nonprofit","NY"
"194657","Private, nonprofit","NY"
"194666","Private, nonprofit","NY"
"194693","Private, nonprofit","NY"
"194736","Private, nonprofit","NY"
"194763","Private, nonprofit","NY"
"194824","Private, nonprofit","NY"
"194958","Private, nonprofit","NY"
"195003","Private, nonprofit","NY"
"195030","Private, nonprofit","NY"
"195049","Private, nonprofit","NY"
"195058","Public","NY"
"195067","Private, for-profit","NY"
"195128","Private, nonprofit","NY"
"195155","Private, nonprofit","NY"
"195164","Private, nonprofit","NY"
"195173","Private, nonprofit","NY"
"195191","Private, nonprofit","NY"
"195216","Private, nonprofit","NY"
"195234","Private, nonprofit","NY"
"195243","Private, nonprofit","NY"
"195289","Private, nonprofit","NY"
"195304","Private, nonprofit","NY"
"195322","Public","NY"
"195438","Private, nonprofit","NY"
"195474","Private, nonprofit","NY"
"195526","Private, nonprofit","NY"
"195544","Private, nonprofit","NY"
"195580","Private, nonprofit","NY"
"195702","Private, nonprofit","NY"
"195720","Private, nonprofit","NY"
"195784","Private, for-profit","NY"
"195809","Private, nonprofit","NY"
"195988","Public","NY"
"196006","Public","NY"
"196015","Public","NY"
"196024","Public","NY"
"196033","Public","NY"
"196042","Public","NY"
"196051","Public","NY"
"196060","Public","NY"
"196079","Public","NY"
"196088","Public","NY"
"196097","Public","NY"
"196103","Public","NY"
"196112","Public","NY"
"196121","Public","NY"
"196130","Public","NY"
"196149","Public","NY"
"196158","Public","NY"
"196167","Public","NY"
"196176","Public","NY"
"196185","Public","NY"
"196194","Public","NY"
"196200","Public","NY"
"196219","Public","NY"
"196228","Public","NY"
"196237","Public","NY"
"196246","Public","NY"
"196255","Public","NY"
"196264","Public","NY"
"196291","Public","NY"
"196307","Public","NY"
"196389","Private, for-profit","NY"
"196413","Private, nonprofit","NY"
"196431","Private, nonprofit","NY"
"196440","Private, nonprofit","NY"
"196468","Private, nonprofit","NY"
"196565","Public","NY"
"196583","Private, nonprofit","NY"
"196592","Private, nonprofit","NY"
"196653","Private, nonprofit","NY"
"196680","Private, nonprofit","NY"
"196699","Public","NY"
"196866","Private, nonprofit","NY"
"196884","Private, nonprofit","NY"
"197018","Private, nonprofit","NY"
"197027","Public","NY"
"197036","Public","NY"
"197045","Private, nonprofit","NY"
"197133","Private, nonprofit","NY"
"197142","Private, nonprofit","NY"
"197151","Private, for-profit","NY"
"197197","Private, nonprofit","NY"
"197221","Private, nonprofit","NY"
"197230","Private, nonprofit","NY"
"197285","Private, for-profit","NY"
"197294","Public","NY"
"197337","Private, for-profit","NY"
"197531","Private, nonprofit","NY"
"197601","Private, nonprofit","NY"
"197647","Private, nonprofit","NY"
"197674","Private, nonprofit","NY"
"197692","Private, nonprofit","NY"
"197708","Private, nonprofit","NY"
"197735","Private, nonprofit","NY"
"197744","Private, nonprofit","NY"
"197814","Public","NC"
"197850","Public","NC"
"197869","Public","NC"
"197887","Public","NC"
"197911","Private, nonprofit","NC"
"197966","Public","NC"
"197984","Private, nonprofit","NC"
"197993","Private, nonprofit","NC"
"198011","Public","NC"
"198039","Public","NC"
"198066","Private, nonprofit","NC"
"198084","Public","NC"
"198109","Private, nonprofit","NC"
"198118","Public","NC"
"198136","Private, nonprofit","NC"
"198154","Public","NC"
"198190","Private, for-profit","NC"
"198206","Public","NC"
"198215","Private, nonprofit","NC"
"198233","Public","NC"
"198251","Public","NC"
"198260","Public","NC"
"198303","Private, nonprofit","NC"
"198321","Public","NC"
"198330","Public","NC"
"198367","Public","NC"
"198376","Public","NC"
"198385","Private, nonprofit","NC"
"198419","Private, nonprofit","NC"
"198455","Public","NC"
"198464","Public","NC"
"198491","Public","NC"
"198507","Public","NC"
"198516","Private, nonprofit","NC"
"198534","Public","NC"
"198543","Public","NC"
"198552","Public","NC"
"198561","Private, nonprofit","NC"
"198570","Public","NC"
"198598","Private, nonprofit","NC"
"198613","Private, nonprofit","NC"
"198622","Public","NC"
"198640","Public","NC"
"198668","Public","NC"
"198677","Private, nonprofit","NC"
"198695","Private, nonprofit","NC"
"198710","Public","NC"
"198729","Public","NC"
"198756","Private, nonprofit","NC"
"198774","Public","NC"
"198808","Private, nonprofit","NC"
"198817","Public","NC"
"198835","Private, nonprofit","NC"
"198844","Private, for-profit","NC"
"198862","Private, nonprofit","NC"
"198871","Private, nonprofit","NC"
"198899","Private, nonprofit","NC"
"198905","Public","NC"
"198914","Public","NC"
"198923","Public","NC"
"198950","Private, nonprofit","NC"
"198969","Private, nonprofit","NC"
"198978","Private, for-profit","NC"
"198987","Public","NC"
"199005","Private, for-profit","NC"
"199023","Public","NC"
"199032","Private, nonprofit","NC"
"199069","Private, nonprofit","NC"
"199078","Private, for-profit","NC"
"199087","Public","NC"
"199102","Public","NC"
"199111","Public","NC"
"199120","Public","NC"
"199139","Public","NC"
"199148","Public","NC"
"199157","Public","NC"
"199184","Public","NC"
"199193","Public","NC"
"199209","Private, nonprofit","NC"
"199218","Public","NC"
"199263","Public","NC"
"199272","Private, nonprofit","NC"
"199281","Public","NC"
"199306","Private, nonprofit","NC"
"199324","Public","NC"
"199333","Public","NC"
"199412","Private, nonprofit","NC"
"199421","Public","NC"
"199449","Public","NC"
"199458","Private, nonprofit","NC"
"199467","Public","NC"
"199476","Public","NC"
"199485","Public","NC"
"199494","Public","NC"
"199582","Private, nonprofit","NC"
"199607","Private, nonprofit","NC"
"199625","Public","NC"
"199634","Public","NC"
"199643","Private, nonprofit","NC"
"199689","Private, for-profit","NC"
"199698","Private, nonprofit","NC"
"199722","Public","NC"
"199731","Public","NC"
"199740","Public","NC"
"199759","Private, nonprofit","NC"
"199768","Public","NC"
"199786","Public","NC"
"199795","Public","NC"
"199838","Public","NC"
"199847","Private, nonprofit","NC"
"199856","Public","NC"
"199865","Private, nonprofit","NC"
"199883","Private, nonprofit","NC"
"199892","Public","NC"
"199908","Public","NC"
"199926","Public","NC"
"199953","Public","NC"
"199962","Private, nonprofit","NC"
"199971","Private, nonprofit","NC"
"199980","Private, for-profit","NC"
"199999","Public","NC"
"200004","Public","NC"
"200013","Private, for-profit","ND"
"200022","Public","ND"
"200059","Public","ND"
"200086","Public","ND"
"200110","Private, for-profit","ND"
"200156","Private, nonprofit","ND"
"200192","Public","ND"
"200208","Public","ND"
"200217","Private, nonprofit","ND"
"200226","Public","ND"
"200253","Public","ND"
"200280","Public","ND"
"200305","Public","ND"
"200314","Public","ND"
"200332","Public","ND"
"200341","Public","ND"
"200466","Public","ND"
"200484","Private, nonprofit","ND"
"200527","Private, nonprofit","ND"
"200554","Private, nonprofit","ND"
"200572","Public","ND"
"200590","Private, for-profit","OH"
"200697","Public","OH"
"200785","Private, nonprofit","OH"
"200800","Public","OH"
"200846","Public","OH"
"200873","Private, nonprofit","OH"
"201034","Public","OH"
"201061","Private, nonprofit","OH"
"201098","Public","OH"
"201104","Private, nonprofit","OH"
"201131","Public","OH"
"201140","Private, nonprofit","OH"
"201159","Public","OH"
"201177","Private, nonprofit","OH"
"201195","Private, nonprofit","OH"
"201283","Public","OH"
"201371","Private, nonprofit","OH"
"201432","Public","OH"
"201441","Public","OH"
"201469","Private, for-profit","OH"
"201478","Public","OH"
"201496","Public","OH"
"201539","Public","OH"
"201548","Private, nonprofit","OH"
"201645","Private, nonprofit","OH"
"201654","Private, nonprofit","OH"
"201672","Public","OH"
"201681","Private, nonprofit","OH"
"201690","Public","OH"
"201751","Private, nonprofit","OH"
"201803","Public","OH"
"201821","Private, nonprofit","OH"
"201867","Private, nonprofit","OH"
"201885","Public","OH"
"201928","Public","OH"
"201946","Public","OH"
"201955","Public","OH"
"201964","Private, nonprofit","OH"
"201973","Public","OH"
"202046","Private, nonprofit","OH"
"202073","Private, nonprofit","OH"
"202134","Public","OH"
"202152","Public","OH"
"202170","Private, nonprofit","OH"
"202222","Public","OH"
"202356","Public","OH"
"202435","Private, for-profit","OH"
"202453","Private, for-profit","OH"
"202480","Private, nonprofit","OH"
"202514","Private, nonprofit","OH"
"202523","Private, nonprofit","OH"
"202648","Public","OH"
"202657","Public","OH"
"202763","Private, nonprofit","OH"
"202806","Private, nonprofit","OH"
"202888","Private, for-profit","OH"
"202903","Private, nonprofit","OH"
"202912","Private, nonprofit","OH"
"202949","Public","OH"
"202985","Public","OH"
"203030","Public","OH"
"203067","Private, nonprofit","NY"
"203085","Private, nonprofit","OH"
"203128","Private, nonprofit","OH"
"203146","Private, nonprofit","OH"
"203155","Public","OH"
"203234","Private, for-profit","OH"
"203289","Private, for-profit","OH"
"203331","Public","OH"
"203368","Private, nonprofit","OH"
"203386","Private, for-profit","OH"
"203438","Private, for-profit","OH"
"203447","Public","OH"
"203456","Public","OH"
"203465","Public","OH"
"203474","Public","OH"
"203483","Public","OH"
"203492","Public","OH"
"203517","Public","OH"
"203526","Public","OH"
"203535","Private, nonprofit","OH"
"203544","Private, nonprofit","OH"
"203580","Private, nonprofit","OH"
"203599","Public","OH"
"203614","Public","OH"
"203678","Public","OH"
"203720","Private, for-profit","OH"
"203739","Private, for-profit","OH"
"203748","Public","OH"
"203757","Private, nonprofit","OH"
"203775","Private, nonprofit","OH"
"203845","Private, nonprofit","OH"
"203881","Public","OH"
"203942","Public","OH"
"203960","Private, nonprofit","OH"
"203997","Private, nonprofit","OH"
"204006","Public","OH"
"204015","Public","OH"
"204024","Public","OH"
"204121","Private, for-profit","OH"
"204158","Public","OH"
"204176","Private, nonprofit","OH"
"204185","Private, nonprofit","OH"
"204194","Private, nonprofit","OH"
"204200","Private, nonprofit","OH"
"204255","Public","OH"
"204264","Private, nonprofit","OH"
"204334","Private, for-profit","OH"
"204422","Public","OH"
"204431","Private, for-profit","OH"
"204440","Public","OH"
