UNITID,SATVRMID,SATMTMID
151962,NULL,NULL
152044,NULL,NULL
152080,715,730
152099,526,525
152150,NULL,NULL
152275,NULL,NULL
152309,NULL,NULL
152318,650,705
152327,NULL,NULL
152336,530,520
152381,500,480
152390,580,560
152415,NULL,NULL
152451,NULL,NULL
152497,NULL,NULL
152530,590,578
152567,525,540
152600,580,585
152628,NULL,NULL
152637,NULL,NULL
152673,580,595
152798,NULL,NULL
152992,NULL,NULL
153001,536,529
153074,NULL,NULL
153083,NULL,NULL
153108,545,540
153126,527,533
153144,591,609
153162,613,608
153171,NULL,NULL
153214,NULL,NULL
153241,NULL,NULL
153250,595,590
153269,600,625
153278,500,510
153296,NULL,NULL
153302,565,550
153311,NULL,NULL
153320,560,500
153339,NULL,NULL
153366,490,500
153375,500,520
153384,690,720
153409,NULL,NULL
153418,NULL,NULL
153427,NULL,NULL
153445,NULL,NULL
153463,NULL,NULL
153472,NULL,NULL
153524,NULL,NULL
153533,NULL,NULL
153542,NULL,NULL
153588,NULL,NULL
153597,NULL,NULL
153603,650,635
153621,455,475
153630,NULL,NULL
153658,625,630
153737,NULL,NULL
153746,NULL,NULL
153764,NULL,NULL
153773,NULL,NULL
153782,NULL,NULL
153825,540,563
153834,572,593
153861,NULL,NULL
153922,NULL,NULL
153977,NULL,NULL
154004,NULL,NULL
154013,NULL,NULL
154022,NULL,NULL
154059,NULL,NULL
154095,605,615
154101,545,570
154110,NULL,NULL
154129,NULL,NULL
154156,NULL,NULL
154165,NULL,NULL
154174,NULL,NULL
154208,NULL,NULL
154235,NULL,NULL
154262,NULL,NULL
154332,NULL,NULL
154341,NULL,NULL
154350,585,560
154378,NULL,NULL
154396,NULL,NULL
154448,NULL,NULL
154457,NULL,NULL
154466,NULL,NULL
154493,470,475
154518,515,505
154527,517,541
154536,NULL,NULL
154545,NULL,NULL
154572,NULL,NULL
154590,455,475
154642,NULL,NULL
154688,500,530
154697,NULL,NULL
154712,NULL,NULL
154721,480,495
154749,NULL,NULL
154794,NULL,NULL
154800,NULL,NULL
154855,530,475
154907,NULL,NULL
154925,NULL,NULL
154934,NULL,NULL
154952,NULL,NULL
154998,NULL,NULL
155007,NULL,NULL
155025,NULL,NULL
155052,NULL,NULL
155061,NULL,NULL
155070,NULL,NULL
155089,515,535
155098,NULL,NULL
155104,NULL,NULL
155140,495,450
155159,NULL,NULL
155177,NULL,NULL
155186,NULL,NULL
155195,NULL,NULL
155201,NULL,NULL
155210,NULL,NULL
155283,NULL,NULL
155292,NULL,NULL
155308,NULL,NULL
155317,NULL,NULL
155335,590,550
155353,NULL,NULL
155399,NULL,NULL
155414,505,505
155423,NULL,NULL
155450,NULL,NULL
155487,NULL,NULL
155496,495,472
155511,590,515
155520,520,535
155566,NULL,NULL
155593,NULL,NULL
155618,NULL,NULL
155627,505,485
155636,NULL,NULL
155681,NULL,NULL
155715,NULL,NULL
155812,523,535
155830,NULL,NULL
155858,NULL,NULL
155900,470,465
155937,490,495
155973,495,495
156082,NULL,NULL
156107,NULL,NULL
156125,563,575
156134,NULL,NULL
156189,515,470
156213,585,545
